,Temperature (C),Humidity,Wind Speed (km/h)
2025-06-16 19:00:00,11.419653902538418,0.7380346868850097,10.845840792505683
2025-06-16 20:00:00,11.421120308492736,0.7380256430004835,10.845733067437463
2025-06-16 21:00:00,11.422582637385847,0.7380166242855928,10.845625641362467
2025-06-16 22:00:00,11.424040900483284,0.7380076306727579,10.84551851345918
2025-06-16 23:00:00,11.42549510908742,0.7379986620921232,10.845411682940457
2025-06-17 00:00:00,11.426945274534335,0.7379897184716773,10.845305149048995
2025-06-17 01:00:00,11.428391408186089,0.7379807997375387,10.845198911050971
2025-06-17 02:00:00,11.429833521419145,0.7379719058143804,10.845092968228421
2025-06-17 03:00:00,11.43127162560997,0.7379630366259551,10.844987319870956
2025-06-17 04:00:00,11.432705732118999,0.7379541920956781,10.84488196526746
2025-06-17 05:00:00,11.43413585227421,0.7379453721472242,10.844776903698369
2025-06-17 06:00:00,11.435561997355526,0.7379365767050927,10.844672134429072
2025-06-17 07:00:00,11.43698417858115,0.7379278056951017,10.844567656704863
2025-06-17 08:00:00,11.438402407096778,0.7379190590447786,10.844463469747739
2025-06-17 09:00:00,11.439816693968309,0.7379103366836215,10.844359572755222
2025-06-17 10:00:00,11.441227050178503,0.7379016385432206,10.84425596490116
2025-06-17 11:00:00,11.44263348662759,0.7378929645572337,10.844152645338406
2025-06-17 12:00:00,11.444036014137687,0.7378843146612275,10.844049613203053
2025-06-17 13:00:00,11.445434643460489,0.7378756887923975,10.843946867619895
2025-06-17 14:00:00,11.446829385287565,0.7378670868891976,10.843844407708609
2025-06-17 15:00:00,11.448220250262395,0.7378585088909058,10.843742232590232
2025-06-17 16:00:00,11.449607248993185,0.7378499547371631,10.84364034139338
2025-06-17 17:00:00,11.45099039206551,0.7378414243675194,10.843538733259843
2025-06-17 18:00:00,11.452369690053873,0.7378329177210194,10.843437407349091
2025-06-17 19:00:00,11.453745153531393,0.737824434735857,10.843336362841498
2025-06-17 20:00:00,11.455116793076991,0.73781597534912,10.843235598940012
2025-06-17 21:00:00,11.456484619279674,0.7378075394966405,10.843135114870302
2025-06-17 22:00:00,11.457848642739744,0.7377991271129568,10.843034909879375
2025-06-17 23:00:00,11.459208874066965,0.7377907381313844,10.84293498323286
2025-06-18 00:00:00,11.46056532387598,0.7377823724841863,10.842835334211218
2025-06-18 01:00:00,11.461918002779433,0.7377740301028266,10.842735962105179
2025-06-18 02:00:00,11.46326692137939,0.7377657109182836,10.842636866210796
2025-06-18 03:00:00,11.4646120902578,0.7377574148613985,10.842538045824474
2025-06-18 04:00:00,11.46595351996669,0.737749141863231,10.842439500238363
2025-06-18 05:00:00,11.467291221018893,0.7377408918553982,10.8423412287364
2025-06-18 06:00:00,11.468625203879885,0.7377326647703685,10.842243230591288
2025-06-18 07:00:00,11.469955478961376,0.7377244605416959,10.842145505062588
2025-06-18 08:00:00,11.471282056616975,0.7377162791041765,10.842048051395993
2025-06-18 09:00:00,11.47260494714021,0.7377081203939198,10.841950868823814
2025-06-18 10:00:00,11.473924160764916,0.7376999843483357,10.841853956566569
2025-06-18 11:00:00,11.475239707667898,0.7376918709060386,10.841757313835513
2025-06-18 12:00:00,11.476551597973549,0.7376837800066808,10.841660939835894
2025-06-18 13:00:00,11.477859841760033,0.7376757115907302,10.841564833770652
2025-06-18 14:00:00,11.479164449066497,0.7376676655992118,10.841468994844272
2025-06-18 15:00:00,11.48046542990076,0.737659641973431,10.84137342226652
2025-06-18 16:00:00,11.4817627942469,0.7376516406547025,10.841278115255765
2025-06-18 17:00:00,11.483056552072188,0.7376436615841026,10.841183073041691
2025-06-18 18:00:00,11.48434671333292,0.7376357047022618,10.841088294867204
2025-06-18 19:00:00,11.485633287978727,0.7376277699492131,10.84099377998945
2025-06-18 20:00:00,11.486916285955184,0.7376198572643009,10.840899527679893
2025-06-18 21:00:00,11.48819571720456,0.7376119665861585,10.840805537223488
2025-06-18 22:00:00,11.489471591664753,0.7376040978527502,10.840711807917065
2025-06-18 23:00:00,11.49074391926659,0.7375962510014725,10.840618339067055
2025-06-19 00:00:00,11.49201270992974,0.7375884259693057,10.840525129986768
2025-06-19 01:00:00,11.493277973557628,0.7375806226930004,10.840432179993437
2025-06-19 02:00:00,11.494539720031748,0.7375728411092857,10.840339488405238
2025-06-19 03:00:00,11.49579795920585,0.7375650811550821,10.840247054538544
2025-06-19 04:00:00,11.497052700900406,0.7375573427677028,10.840154877705544
2025-06-19 05:00:00,11.498303954897773,0.7375496258850306,10.840062957212446
2025-06-19 06:00:00,11.499551730938377,0.7375419304456566,10.839971292358323
2025-06-19 07:00:00,11.500796038718146,0.7375342563889746,10.839879882434683
2025-06-19 08:00:00,11.502036887887359,0.7375266036552235,10.839788726725748
2025-06-19 09:00:00,11.503274288050887,0.737518972185479,10.839697824509408
2025-06-19 10:00:00,11.50450824876982,0.737511361921597,10.83960717505872
2025-06-19 11:00:00,11.505738779564247,0.7375037728061135,10.83951677764386
2025-06-19 12:00:00,11.506965889916966,0.7374962047821118,10.839426631534323
2025-06-19 13:00:00,11.508189589277835,0.7374886577930676,10.83933673600123
2025-06-19 14:00:00,11.509409887068385,0.7374811317826845,10.839247090319551
2025-06-19 15:00:00,11.510626792686379,0.7374736266947306,10.839157693770105
2025-06-19 16:00:00,11.51184031550999,0.7374661424728908,10.839068545641156
2025-06-19 17:00:00,11.513050464901308,0.7374586790606428,10.83897964522958
2025-06-19 18:00:00,11.514257250208951,0.7374512364011655,10.838890991841446
2025-06-19 19:00:00,11.515460680769651,0.7374438144372852,10.83880258479208
2025-06-19 20:00:00,11.516660765908735,0.7374364131114614,10.838714423405566
2025-06-19 21:00:00,11.517857514939509,0.7374290323658113,10.838626507013778
2025-06-19 22:00:00,11.519050937161683,0.7374216721421706,10.83853883495502
2025-06-19 23:00:00,11.520241041858952,0.7374143323821839,10.838451406572403
